,分值
264,0.7492754818181818
265,0.853846
266,0.977933
267,0.6814910000000001
268,0.9532970000000001
269,0.5048250392857143
270,0.42074293
271,0.8005636666666667
272,0.8278624736842105
273,0.8210607777777778
274,0.5
275,0.5
276,0.8421303333333333
277,0.5505069813500001
278,0.761975
279,0.93305
280,0.34832258615384615
281,0.5353594728571428
282,0.7385480000000001
283,0.8402893333333333
284,0.798824
285,0.9956974999999999
286,0.944232625
287,0.5744161666666666
288,0.982335
289,0.97818175
290,0.7290646666666666
291,0.76027534
292,0.5
293,0.8467372857142857
294,0.73623225
295,0.8062176000000001
296,0.5
297,0.8755215000000001
298,0.8720224999999999
299,0.365298
300,0.727034125
301,0.6449374999999999
302,0.5
303,0.719275012
304,0.918855
305,0.73623225
306,0.666566
307,0.05913111333333334
308,0.649578
309,0.5155378045454545
310,0.6334888333333334
311,0.7472813875000001
312,0.74473778
313,0.9379985
314,0.9777785714285713
315,0.6638187142857143
316,0.020835624333333334
317,0.5817694166666667
318,0.7832694444444444
319,0.70712788
320,0.8854015
321,0.997149
322,0.5
323,0.6326444999999999
324,0.9306333999999999
325,0.880634
326,0.303966
327,0.9692206666666667
328,0.974196
329,0.1277863
330,0.9040479166666667
331,0.7192120495999998
332,0.816527
333,0.7869361263157894
334,0.905727
335,0.5
336,0.79581225
337,0.5
338,0.5
339,0.7241405
340,0.8418993333333334
341,0.749136
342,0.992919
343,0.3678436333333333
344,0.7131704999999999
345,0.743556
346,0.7344370000000001
347,0.6394341521428573
348,0.6576804142857143
349,0.041963
350,0.2546280342857143
351,0.99059575
352,0.39879964285714287
353,0.885086
354,0.5
355,0.5
356,0.9753069999999999
357,0.5
358,0.9916
359,0.889863
360,0.90455775
361,0.7281246666666666
362,0.9350823333333333
363,0.856043
364,0.5
365,0.9092917142857143
366,0.7711426
367,0.5
368,0.6964678285714285
369,0.60374258525
370,0.4361491
371,0.895584
372,0.5655496999999999
373,0.7581573333333332
374,0.5
375,0.349403
376,0.597270675
377,0.9150088571428572
378,0.6592588184615382
379,0.2867554666666667
380,0.25223
381,0.1551705
382,0.866028
383,0.5
